experiment_id,dataset,seed,rank,eta,observable_policy,accuracy,macro_f1,runtime_seconds,entanglement_entropy_proxy,did_interaction_delta,pareto_utility_J_eta
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,16,0.5,did_summary,,,,0.4,-0.002777777777777768,0.9497338986396789
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,16,0.75,did_summary,,,,0.6000000000000001,0.0,0.9469854296578301
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,16,1.0,did_summary,,,,0.8,-0.005555555555555536,0.9357292408413357
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,32,0.0,fixed_pauli_subset,0.9166666666666666,0.9172499203448228,0.03847813606262207,0.0,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,32,0.0,greedy_operator_optimized,0.9111111111111111,0.9119989375866753,0.053052425384521484,0.0,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,32,0.25,fixed_pauli_subset,0.9194444444444444,0.9197495356771839,0.1034095287322998,0.2,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,32,0.25,greedy_operator_optimized,0.9166666666666666,0.9170429460633975,0.04674720764160156,0.2,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,32,0.5,fixed_pauli_subset,0.9194444444444444,0.9197495356771839,0.1068258285522461,0.4,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,32,0.5,greedy_operator_optimized,0.9166666666666666,0.9170429460633975,0.046195030212402344,0.4,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,32,0.75,fixed_pauli_subset,0.8972222222222223,0.8980176633456587,0.04664278030395508,0.6000000000000001,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,32,0.75,greedy_operator_optimized,0.8972222222222223,0.8983424813143122,0.0980532169342041,0.6000000000000001,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,32,1.0,fixed_pauli_subset,0.8805555555555555,0.8813478124549856,0.09444165229797363,0.8,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,32,1.0,greedy_operator_optimized,0.8638888888888889,0.86516486291099,0.09560370445251465,0.8,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,32,0.0,did_summary,,,,0.0,0.0,0.9101958054966397
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,32,0.25,did_summary,,,,0.2,0.002777777777777768,0.9151650993029277
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,32,0.5,did_summary,,,,0.4,0.002777777777777768,0.9151364580790201
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,32,0.75,did_summary,,,,0.6000000000000001,0.005555555555555536,0.8957752622498406
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,32,1.0,did_summary,,,,0.8,-0.011111111111111072,0.861988435321384
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,48,0.0,fixed_pauli_subset,0.825,0.8262721055409236,0.1075139045715332,0.0,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,48,0.0,greedy_operator_optimized,0.8166666666666667,0.817961983676563,0.06451272964477539,0.0,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,48,0.25,fixed_pauli_subset,0.8472222222222222,0.8475694544315573,0.08267402648925781,0.2,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,48,0.25,greedy_operator_optimized,0.8527777777777777,0.8536172966433216,0.0945119857788086,0.2,,
EXP_SIM_2_ENTANGLE_OBS_DID,FASHION_MNIST_PROXY,11,48,0.5,fixed_pauli_subset,0.8472222222222222,0.8475694544315573,0.08260917663574219,0.4,,
